ctlabel,borocode,boroname,ct2020,boroct2020,cdeligibil,ntaname,nta2020,cdta2020,cdtaname,geoid,shape_leng,shape_area
"393","3",Brooklyn,"039300","3039300",,Bushwick (West),BK0401,BK04,BK04 Bushwick (CD 4 Equivalent),"36047039300",6715.3074882499995510443113744258881,2043908.7161199999973177909851074218750
"289","3",Brooklyn,"028900","3028900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028900",6580.1209537799995814566500484943390,1784336.1967899999581277370452880859375
"395","3",Brooklyn,"039500","3039500",,Bushwick (East),BK0402,BK04,BK04 Bushwick (CD 4 Equivalent),"36047039500",5815.4813394900002094800584018230438,1715478.6259099999442696571350097656250
"327","3",Brooklyn,"032700","3032700",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032700",7322.0909565299998575937934219837189,1904249.8607799999881535768508911132812
"1186","3",Brooklyn,"118600","3118600",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047118600",5801.6709639999999126303009688854218,1415207.4655200000852346420288085937500
"1164","3",Brooklyn,"116400","3116400",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116400",5646.0479509599999801139347255229950,1954432.5580400000326335430145263671875
"1162","3",Brooklyn,"116200","3116200",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116200",5134.9566279199998461990617215633392,1543810.1351799999829381704330444335938
"1160","3",Brooklyn,"116000","3116000",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116000",5240.8978944199998295516707003116608,1629832.6262099999003112316131591796875
"1158","3",Brooklyn,"115800","3115800",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047115800",5290.7333585699998366180807352066040,1668175.8767299999017268419265747070312
"1172.01","3",Brooklyn,"117201","3117201",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117201",5149.1820489900001120986416935920715,1390018.2168000000528991222381591796875
"1170","3",Brooklyn,"117000","3117000",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117000",5331.2006040500000381143763661384583,1653944.1323500000871717929840087890625
"1168","3",Brooklyn,"116800","3116800",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116800",5447.5211086999997860402800142765045,1549247.9927399998996406793594360351562
"1166","3",Brooklyn,"116600","3116600",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116600",5251.6571558100004040170460939407349,1715753.1606900000479072332382202148438
"1176.02","3",Brooklyn,"117602","3117602",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117602",5876.2152727299999241949990391731262,1548008.0209399999585002660751342773438
"1176.01","3",Brooklyn,"117601","3117601",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117601",6040.0789105000003473833203315734863,1639988.1901899999938905239105224609375
"1174","3",Brooklyn,"117400","3117400",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117400",6842.1419440500003474880941212177277,2295155.2917399997822940349578857421875
"1172.02","3",Brooklyn,"117202","3117202",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117202",5193.7181480600002032588236033916473,1634622.1946900000330060720443725585938
"1182.02","3",Brooklyn,"118202","3118202",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047118202",4918.2129689299999881768599152565002,1337869.8194399999920278787612915039062
"1182.01","3",Brooklyn,"118201","3118201",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047118201",4880.9814111200003026169724762439728,1360340.1534899999387562274932861328125
"1180","3",Brooklyn,"118000","3118000",,Highland Park-Cypress Hills Cemeteries (South),BK0571,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047118000",15889.6701205000008485512807965278625,8100960.2982700001448392868041992187500
"1178","3",Brooklyn,"117800","3117800",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047117800",5823.6975782999998045852407813072205,1528412.1724900000263005495071411132812
"1192","3",Brooklyn,"119200","3119200",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047119200",6364.1905692199998156866058707237244,2421479.2746700001880526542663574218750
"1190","3",Brooklyn,"119000","3119000",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047119000",6874.5129797800000233110040426254272,1510640.5231800000183284282684326171875
"1188","3",Brooklyn,"118800","3118800",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047118800",6036.0174928200003705569542944431305,1877213.4026999999769032001495361328125
"1184","3",Brooklyn,"118400","3118400",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047118400",5966.7070032100000389618799090385437,2204317.8873499999754130840301513671875
"1200","3",Brooklyn,"120000","3120000",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120000",6327.9431197900003098766319453716278,1623804.0892900000326335430145263671875
"1198","3",Brooklyn,"119800","3119800",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047119800",8959.3343698999997286591678857803345,3527651.3798199999146163463592529296875
"1196","3",Brooklyn,"119600","3119600",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047119600",7989.4177811800000199582427740097046,3290843.7560499999672174453735351562500
"1194","3",Brooklyn,"119400","3119400",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047119400",5622.8639102699999057222157716751099,1964535.9771199999377131462097167968750
"1208.03","3",Brooklyn,"120803","3120803",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120803",6408.9215918600002623861655592918396,1665738.9430800001136958599090576171875
