crash_date,latitude,longitude,collision_,trees_near,tree_dens_,avg_td
2015/12/30,40.678162700000001,-73.897476900000001,"3362556",38.000000000000000,2.108,3.993
2015/12/19,40.675735699999997,-73.896853300000004,"3356876",59.000000000000000,3.272,3.993
2015/12/21,40.696034599999997,-73.984529199999997,"3357568",44.000000000000000,2.440,3.993
2015/12/23,40.684052500000000,-73.977457900000005,"3358904",57.000000000000000,3.161,3.993
