"crash_date","latitude","longitude","collision_id"
2015-12-28,40.6490258,-73.8963432,3361380
2015-12-30,40.6606563,-73.9303212,3363053
2015-12-25,40.5820191,-73.9711345,3361309
2015-12-28,40.6778978,-74.0095431,3361998
2015-12-24,40.6492737,-73.8725692,3360053
2015-12-24,40.6355144,-73.980843,3359503
2015-12-29,40.6673324,-73.9535212,3362526
2015-12-29,40.6183849,-74.0288956,3361953
2015-12-30,40.64882,-74.0028685,3363097
2015-12-30,40.637264,-73.9897889,3362495
2015-12-28,40.6538055,-73.9306058,3361937
2015-12-27,40.7084262,-73.951332,3360845
2015-12-30,40.6716376,-73.950335,3362572
2015-12-31,40.6713386,-73.9447945,3363824
2015-12-31,40.6762863,-73.9869998,3363124
2015-12-27,40.6854659,-73.9505916,3361451
2015-12-28,40.700791,-73.9604981,3362037
2015-12-27,40.6887749,-73.9478919,3361449
2015-12-24,40.6896312,-73.9857387,3361486
2015-12-31,40.6765301,-73.8683819,3363800
2015-12-29,40.6140296,-73.9493046,3361965
2015-12-30,40.6184717,-74.0212161,3362512
2015-12-24,40.6209138,-73.9752963,3360013
2015-12-27,40.6881146,-73.9210328,3361463
2015-12-24,40.610949,-73.9536001,3359995
2015-12-24,40.6788706,-73.9216458,3361460
2015-12-26,40.6632221,-73.8936503,3360800
2015-12-27,40.7091925,-73.9684789,3360846
2015-12-27,40.6339615,-74.0147538,3360767
2015-12-31,40.6132357,-73.9233436,3363479
2015-12-28,40.6351864,-73.9286112,3361340
2015-12-27,40.6274578,-73.939355,3361923
2015-12-31,40.6940685,-73.9140551,3363842
2015-12-31,40.6481418,-73.9492858,3363500
2015-12-26,40.678723,-73.9529869,3361440
2015-12-23,40.6422048,-73.9919285,3358790
2015-12-31,40.6793614,-73.8797404,3363801
2015-12-28,40.6175008,-73.9608859,3361395
2015-12-25,40.6224004,-73.9366363,3360283
2015-12-30,40.6510057,-73.9457051,3363052
2015-12-25,40.5907496,-73.9683728,3359998
2015-12-28,40.6265698,-73.9709207,3362492
2015-12-24,40.6351864,-73.9286112,3359498
2015-12-24,40.6594524,-73.8984572,3359564
2015-12-29,40.6472977,-73.9802919,3361929
2015-12-24,40.6541615,-73.9248211,3360025
2015-12-27,40.6718921,-73.8958679,3361416
2015-12-28,40.6508616,-73.9726364,3361407
2015-12-26,40.6701245,-73.9552712,3360309
2015-12-27,40.7043984,-73.9238339,3361471
2015-12-24,40.6125498,-73.962859,3359508
2015-12-25,40.6407694,-73.9940763,3360015
2015-12-29,40.6969863,-73.9352238,3362022
2015-12-28,40.6478727,-73.8817972,3361424
2015-12-24,40.6815661,-73.8943133,3359573
2015-12-27,40.6293786,-74.0256616,3361372
2015-12-24,40.6167265,-74.0183267,3359527
2015-12-25,40.6592523,-73.9884304,3361406
2015-12-28,40.6538055,-73.9306058,3361938
2015-12-29,40.6148313,-73.998372,3361917
2015-12-26,40.5836578,-73.9865462,3360275
2015-12-27,40.5777999,-73.9605636,3360738
2015-12-30,40.5997043,-73.9901512,3362477
2015-12-24,40.6506684,-73.9524697,3360028
2015-12-24,40.6921238,-73.9890305,3360355
2015-12-24,40.6802409,-73.9467485,3359613
2015-12-29,40.6306327,-74.0092229,3362506
2015-12-31,40.6002316,-73.9955923,3363767
2015-12-30,40.619132,-73.9901807,3363030
2015-12-28,40.6552468,-73.981796,3361978
2015-12-30,40.6280254,-73.9745155,3362515
2015-12-23,40.6856685,-74.0048532,3358893
2015-12-30,40.6800886,-73.9439725,3362589
2015-12-30,40.6163458,-74.0115442,3363058
2015-12-23,40.6122155,-73.9971727,3359470
2015-12-23,40.6891376,-73.9907077,3358940
2015-12-27,40.660937,-73.9832362,3361405
2015-12-24,40.6578369,-73.9503273,3360045
2015-12-27,40.6739993,-73.9603914,3361444
