ctlabel,borocode,boroname,ct2020,boroct2020,cdeligibil,ntaname,nta2020,cdta2020,cdtaname,geoid,shape_leng,shape_area,num_crash,num_tree,crash_dens,tree_dens,area_acre
"299","3",Brooklyn,"029900","3029900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029900",5862.9468523699997604126110672950745,1535625.1050400000531226396560668945312,212.000000000000000,256.000000000000000,6.014,7.262,35.253
"298","3",Brooklyn,"029800","3029800",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029800",7431.0783792800002629519440233707428,2379873.9597999998368322849273681640625,140.000000000000000,260.000000000000000,2.563,4.759,54.634
"297","3",Brooklyn,"029700","3029700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029700",5857.4550830500002120970748364925385,2211871.3398000001907348632812500000000,99.000000000000000,433.000000000000000,1.950,8.527,50.778
"304","3",Brooklyn,"030400","3030400",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030400",13598.6846722999998746672645211219788,5021019.7916999999433755874633789062500,53.000000000000000,252.000000000000000,0.460,2.186,115.267
"303","3",Brooklyn,"030300","3030300",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047030300",6958.0102266499998222570866346359253,2726302.1658700001426041126251220703125,239.000000000000000,427.000000000000000,3.819,6.823,62.587
"302","3",Brooklyn,"030200","3030200",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030200",6921.9143923600004200125113129615784,2273119.8454499999061226844787597656250,69.000000000000000,243.000000000000000,1.322,4.657,52.184
"301","3",Brooklyn,"030100","3030100",,Ocean Hill,BK1601,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),"36047030100",7472.4353295099999741069041192531586,2097829.0967600001022219657897949218750,220.000000000000000,240.000000000000000,4.568,4.983,48.160
"308","3",Brooklyn,"030800","3030800",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047030800",12577.3661960000008548377081751823425,7196385.3402399998158216476440429687500,131.000000000000000,146.000000000000000,0.793,0.884,165.206
"307","3",Brooklyn,"030700","3030700",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030700",7159.2681303099998331163078546524048,2868056.4787699999287724494934082031250,316.000000000000000,250.000000000000000,4.799,3.797,65.842
"306","3",Brooklyn,"030600","3030600",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047030600",6092.7637758800001392955891788005829,2084709.6529900000896304845809936523438,54.000000000000000,159.000000000000000,1.128,3.322,47.858
"305","3",Brooklyn,"030500","3030500",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030500",7369.2259030300001541036181151866913,3478044.4356399998068809509277343750000,221.000000000000000,389.000000000000000,2.768,4.872,79.845
"314.01","3",Brooklyn,"031401","3031401",,Gravesend (South),BK1301,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047031401",20497.0484968999990087468177080154419,4719371.2944099996238946914672851562500,87.000000000000000,315.000000000000000,0.803,2.907,108.342
"313","3",Brooklyn,"031300","3031300",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031300",5522.6192287200001374003477394580841,1876205.4731099999044090509414672851562,202.000000000000000,214.000000000000000,4.690,4.968,43.072
"311","3",Brooklyn,"031100","3031100",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031100",5523.5282174000003578839823603630066,1632165.3381099998950958251953125000000,168.000000000000000,187.000000000000000,4.484,4.991,37.469
"309","3",Brooklyn,"030900","3030900",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047030900",5520.4033227099998839548788964748383,1627454.7365800000261515378952026367188,234.000000000000000,241.000000000000000,6.263,6.451,37.361
"317.02","3",Brooklyn,"031702","3031702",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031702",5031.4634299500003180583007633686066,1500336.7000500001013278961181640625000,206.000000000000000,308.000000000000000,5.981,8.942,34.443
"317.01","3",Brooklyn,"031701","3031701",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031701",5033.4861516999999366817064583301544,1504294.0326900000218302011489868164062,106.000000000000000,244.000000000000000,3.069,7.066,34.534
"315","3",Brooklyn,"031500","3031500",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047031500",5727.1187056400003712042234838008881,1940364.9321600000839680433273315429688,296.000000000000000,262.000000000000000,6.645,5.882,44.545
"314.02","3",Brooklyn,"031402","3031402",,Calvert Vaux Park,BK1391,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047031402",11280.7388915999999881023541092872620,4222370.8327000001445412635803222656250,1.000000000000000,45.000000000000000,0.010,0.464,96.932
"798.01","3",Brooklyn,"079801","3079801",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047079801",4764.3530515599995851516723632812500,1397208.5426600000355392694473266601562,107.000000000000000,250.000000000000000,3.336,7.794,32.075
"796.02","3",Brooklyn,"079602","3079602",,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047079602",5043.9678928499997709877789020538330,1453524.6913199999835342168807983398438,217.000000000000000,172.000000000000000,6.503,5.155,33.368
"796.01","3",Brooklyn,"079601","3079601",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047079601",4382.6847083000002385233528912067413,1188358.5905299999285489320755004882812,159.000000000000000,190.000000000000000,5.828,6.965,27.281
"794","3",Brooklyn,"079400","3079400",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047079400",6265.7627817200000208686105906963348,2391961.7629800001159310340881347656250,200.000000000000000,183.000000000000000,3.642,3.333,54.912
